13.5670185089	1100.11352539
13.7255573273	1100.38793945
13.8952598572	1100.67980957
14.0739297867	1100.98718262
14.2474956512	1101.28613281
14.4398498535	1101.6171875
14.649477005	1101.97900391
14.8560085297	1102.33666992
15.1302537918	1102.81066895
15.2988901138	1103.1015625
15.4557991028	1103.37231445
15.6531181335	1103.71264648
15.8612136841	1104.07116699
16.0551834106	1104.40405273
16.4502182007	1105.0847168
16.6704978943	1105.46533203
16.8522281647	1105.7791748
17.0563812256	1106.1315918
17.2322368622	1106.43493652
17.3158302307	1106.72802734
17.6015338898	1107.07202148
17.7726554871	1107.36694336
17.9873714447	1107.73730469
18.1402759552	1108.00097656
18.3033180237	1108.28222656
18.5217113495	1108.65869141
18.7316169739	1109.02026367
18.9182033539	1109.3404541
19.0772018433	1109.61352539
19.2725219727	1109.95166016
19.4267425537	1110.22119141
19.6189346313	1110.56140137
19.8354663849	1110.94812012
20.0060157776	1111.25354004
20.2169265747	1111.63208008
20.4068222046	1111.97241211
20.5739650726	1112.27172852
20.7260761261	1112.54394531
20.7260761261	1112.89916992
21.0303115845	1113.08972168
21.2722167969	1113.52380371
21.4564781189	1113.8548584
21.6542034149	1114.20996094
21.8117809296	1114.49267578
22.0488128662	1114.91760254
22.2626152039	1115.30078125
22.4325714111	1115.60522461
22.6740112305	1116.03771973
22.895690918	1116.43493652
23.0630722046	1116.73498535
23.2027263641	1117.17163086
23.44921875	1117.42736816
23.6008834839	1117.69921875
23.7492675781	1117.96496582
24.0051307678	1118.42297363
24.2585601807	1118.87585449
24.4284362793	1119.17944336
24.643283844	1119.56323242
24.8834705353	1119.99230957
25.0339736938	1120.26123047
25.2118530273	1120.57897949
25.4656448364	1121.03173828
25.5965766907	1121.60021973
26.0100154877	1122.00292969
26.3064804077	1122.53173828
26.4914665222	1122.86132812
26.4914665222	1123.19592285
26.8059062958	1123.42053223
27.0437793732	1123.84362793
27.2052536011	1124.13061523
27.5746135712	1124.78723145
27.7616577148	1125.12011719
27.9247627258	1125.41052246
28.2162322998	1125.9296875
28.4694671631	1126.38061523
28.6240997314	1126.65588379
28.9475975037	1127.23156738
29.3401069641	1127.93005371
29.5097351074	1128.23205566
29.6593208313	1128.49829102
29.8342666626	1128.80981445
30.0208454132	1129.14233398
30.2284851074	1129.5123291
30.3829612732	1129.78759766
30.5862503052	1130.1496582
30.7852935791	1130.50439453
30.971572876	1130.83703613
31.2151966095	1131.27209473
31.3986778259	1131.59997559
31.3986778259	1132.17260742
31.7193374634	1132.17260742
31.8877220154	1132.47302246
32.1365852356	1132.91650391
32.3446769714	1133.28674316
32.5280342102	1133.61340332
32.842010498	1134.17297363
33.0731811523	1134.58459473
33.2467498779	1134.89343262
33.4434967041	1135.24316406
33.6205062866	1135.5579834
33.6205062866	1135.91479492
34.1193466187	1136.44458008
34.3251266479	1136.81005859
34.661781311	1137.40795898
35.0079574585	1138.02294922
35.2150611877	1138.39074707
35.3929519653	1138.70666504
35.7041397095	1139.2590332
35.9509239197	1139.69714355
36.1334381104	1140.02111816
36.4983100891	1140.66882324
36.7241439819	1141.06982422
37.0477523804	1141.64440918
37.2390785217	1141.98425293
37.5883407593	1142.60473633
37.7511253357	1142.89379883
38.0225906372	1143.3762207
38.2043533325	1143.69921875
38.4077644348	1144.06091309
38.5818481445	1144.3704834
38.7954368591	1144.75024414
39.0817947388	1145.25939941
39.2550849915	1145.56774902
39.4495849609	1145.91369629
39.6057472229	1146.19152832
39.7814254761	1146.50390625
40.0663909912	1147.0111084
40.0663909912	1147.66723633
40.4352493286	1147.66723633
40.6649246216	1148.07556152
40.8531341553	1148.41027832
41.1559486389	1148.94824219
41.3635635376	1149.31677246
41.5293197632	1149.61083984
41.7376785278	1149.98034668
41.9703369141	1150.39282227
42.2838363647	1150.94848633
42.685333252	1151.66027832
43.0750236511	1152.35107422
43.3670120239	1152.86901855
43.6012611389	1153.28479004
43.6012611389	1154.02148438
44.0159454346	1154.02148438
44.2489128113	1154.43530273
44.5088806152	1154.89648438
44.7530059814	1155.32983398
44.9849700928	1155.74108887
45.1705856323	1156.07019043
45.1705856323	1156.58227539
45.7619743347	1157.11791992
45.9653015137	1157.47753906
46.3430900574	1158.14624023
46.5421676636	1158.49926758
46.8783111572	1159.09838867
47.103969574	1159.50305176
47.3112220764	1159.87695312
47.5539512634	1160.31665039
47.8344039917	1160.82714844
48.1353607178	1161.3762207
48.3784103394	1161.82080078
48.3784103394	1162.40722656
48.6987686157	1162.40722656
48.9400939941	1162.84924316
48.9400939941	1163.34289551
49.5017929077	1163.87927246
49.7796058655	1164.38964844
50.0027618408	1164.80004883
50.2659606934	1165.28405762
50.6026992798	1165.90380859
50.9031143188	1166.45654297
51.1204376221	1166.85668945
51.3586196899	1167.29492188
51.5631828308	1167.66992188
51.8788833618	1168.24560547
52.1462631226	1168.72973633
52.444393158	1169.26647949
52.6868667603	1169.70141602
52.9387283325	1170.15185547
53.2875900269	1170.77429199
53.8742675781	1171.81835938
53.8742675781	1172.24768066
54.4091529846	1172.76843262
54.8168258667	1173.49206543
55.3156776428	1174.37683105
55.6211051941	1174.91845703
56.0926208496	1175.75476074
56.3735351562	1176.25292969
56.619304657	1176.6887207
56.8517303467	1177.10083008
57.256690979	1177.81884766
57.4906539917	1178.23364258
57.7388343811	1178.6739502
58.0848693848	1179.28747559
58.370639801	1179.79431152
58.7517547607	1180.47021484
59.182384491	1181.23376465
59.6656265259	1182.09094238
59.6656265259	1182.93017578
60.1387290955	1182.93017578
60.635017395	1183.81079102
60.8591690063	1184.20874023
